source,event_type,user,time
email,phishing,U101,2025-03-14T09:00:00Z
workstation,malware_detected,U102,2025-03-14T09:01:00Z
auth,failed_login,U101,2025-03-14T09:02:00Z
auth,failed_login,U101,2025-03-14T09:03:00Z
auth,failed_login,U101,2025-03-14T09:04:00Z
auth,failed_login,U101,2025-03-14T09:05:00Z
banking,unusual_transaction,U101,2025-03-14T09:06:00Z
email,phishing,U103,2025-03-14T09:07:00Z
auth,failed_login,U103,2025-03-14T09:08:00Z
workstation,malware_detected,U104,2025-03-14T09:09:00Z
banking,unusual_transaction,U103,2025-03-14T09:10:00Z
auth,failed_login,U105,2025-03-14T09:11:00Z
auth,failed_login,U105,2025-03-14T09:12:00Z
email,phishing,U106,2025-03-14T09:13:00Z
banking,unusual_transaction,U102,2025-03-14T09:14:00Z
auth,failed_login,U106,2025-03-14T09:15:00Z
workstation,malware_detected,U101,2025-03-14T09:16:00Z
banking,unusual_transaction,U106,2025-03-14T09:17:00Z
email,phishing,U107,2025-03-14T09:18:00Z
auth,failed_login,U108,2025-03-14T09:19:00Z
auth,failed_login,U108,2025-03-14T09:20:00Z
